COND天气状况,TMP气温(℃),FEELST体感温度(℃),PRES气压(hPa),HUM相对湿度(%),RAIN降水量(mm),WDIR风向,WSC风力,WSPD风速(m/s),AQI,PM2.5(渭g/m鲁),PM10(渭g/m鲁),NO2(渭g/m鲁),SO2(渭g/m鲁),O3(渭g/m鲁),CO(mg/m鲁)
霾,-2.7,-7.8,1019,98,0.0,6,1,0.7,256.0,206.0,0.0,67.0,27.0,6.0,3.2
霾,-2.0,-7.2,1019,96,0.0,2,1,1.6,273.0,223.0,0.0,65.0,17.0,7.0,3.3
霾,-1.8,-6.3,1020,92,0.0,2,1,0.8,233.0,183.0,0.0,54.0,11.0,6.0,2.5
霾,-1.3,-5.5,1020,90,0.0,8,1,0.8,237.0,187.0,0.0,50.0,11.0,7.0,2.2
霾,-0.5,-3.9,1020,82,0.0,8,1,0.8,234.0,184.0,0.0,48.0,13.0,10.0,2.0
霾,1.4,-0.3,1020,60,0.0,6,1,1.7,220.0,170.0,0.0,46.0,16.0,13.0,1.6
霾,2.7,2.3,1018,48,0.0,2,1,1.0,202.0,152.0,0.0,34.0,35.0,37.0,1.4
霾,2.9,2.2,1018,49,0.0,6,1,1.5,162.0,123.0,0.0,39.0,38.0,40.0,1.2
霾,2.1,0.1,1018,61,0.0,6,1,2.5,153.0,117.0,0.0,39.0,35.0,46.0,1.2
霾,0.7,-2.2,1018,73,0.0,6,1,1.9,207.0,157.0,0.0,52.0,32.0,37.0,1.6
多云,-0.1,-3.6,1019,79,0.0,6,1,1.7,245.0,195.0,0.0,64.0,26.0,20.0,1.9
多云,-0.8,-4.8,1020,83,0.0,6,1,2.0,270.0,220.0,0.0,67.0,20.0,14.0,2.1
多云,-1.0,-5.3,1021,86,0.0,8,1,1.8,269.0,219.0,0.0,71.0,18.0,9.0,2.2
多云,-1.0,-5.3,1021,86,0.0,8,1,2.0,276.0,226.0,0.0,76.0,23.0,6.0,2.5
多云,-1.9,-6.4,1022,89,0.0,6,1,1.4,286.0,236.0,0.0,75.0,22.0,7.0,2.7
多云,-2.1,-7.1,1022,93,0.0,6,1,1.6,282.0,232.0,0.0,76.0,18.0,7.0,3.0
多云,-2.6,-7.6,1023,94,0.0,6,1,1.2,298.0,248.0,0.0,78.0,17.0,8.0,3.7
多云,-3.8,-9.0,1023,95,0.0,6,1,1.0,307.0,257.0,0.0,77.0,16.0,8.0,3.9
多云,-3.9,-9.3,1024,96,0.0,8,1,1.2,299.0,249.0,0.0,79.0,17.0,8.0,3.9
多云,-4.3,-9.9,1024,96,0.0,6,1,1.4,303.0,253.0,0.0,81.0,17.0,8.0,3.8
多云,-4.1,-9.6,1025,98,0.0,4,1,0.9,308.0,258.0,0.0,80.0,14.0,8.0,4.2
多云,-2.9,-6.6,1025,75,0.0,2,1,2.1,230.0,180.0,0.0,68.0,19.0,12.0,2.7
多云,-0.9,-1.7,1025,45,0.0,2,1,2.2,28.0,19.0,0.0,21.0,12.0,46.0,0.6
多云,-0.7,-1.1,1026,37,0.0,2,1,2.9,16.0,8.0,0.0,21.0,6.0,51.0,0.5
多云,-1.0,-1.6,1027,35,0.0,2,4,4.2,15.0,7.0,0.0,29.0,6.0,44.0,0.7
多云,-0.7,-1.0,1028,34,0.0,2,4,3.6,19.0,13.0,0.0,29.0,5.0,45.0,0.6
多云,0.2,0.1,1028,31,0.0,2,4,3.8,19.0,13.0,0.0,31.0,6.0,42.0,0.6
多云,1.6,2.7,1025,21,0.0,2,1,2.6,19.0,13.0,0.0,20.0,6.0,60.0,0.6
晴,1.1,2.0,1025,21,0.0,8,1,3.3,25.0,17.0,0.0,20.0,5.0,61.0,0.5
晴,1.0,2.1,1026,22,0.0,8,1,2.4,28.0,19.0,0.0,27.0,6.0,52.0,0.6
